ID,data,Name,Industry,Inception,Revenue,Expenses,Profit,Growth
1,yes,Lamtone,IT Services,2009,"$11,757,018 ","6,482,465 Dollars",5274553,30%
2,no,Stripfind,Financial Services,2010,"$12,329,371 ","916,455 Dollars",11412916,20%
3,yes,Canecorporation,,,"$10,597,009 ",,3005820,
4,yes,Mattouch,IT Services,2013,"$14,026,934 ",,0,not available
5,yes,Techdrill,not available,,"$10,573,990 ","7,435,363 Dollars",0,8%
6,no,Techline,Health,2006,"$13,898,119 ",NaN,0,no values
7,yes,Cityace,Health,2010,"$9,254,614 ","6,249,498 Dollars",0,6%
8,yes,Kayelectronics,no values,2009,"$9,451,943 ",,5573830,Null
9,no,Ganzlax,IT Services,2011,"$14,001,180 ",not available,11901180,18%
10,yes,Trantraxlax,Government Services,2011,"$11,088,336 ","5,635,276 Dollars",5453060,
